latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-6.57484,-51.10321,318.18,0.48,0.48,2023-01-01,0419,N20,VIIRS,n,2,288.53,2.24,N,2
-12.30578,-52.6841,298.56,0.49,0.49,2023-01-01,0421,N20,VIIRS,n,2,283.18,0.23,N,0
-12.30497,-52.68864,296.03,0.49,0.49,2023-01-01,0421,N20,VIIRS,n,2,282.81,0.29,N,0
-20.98895,-55.22159,302.55,0.5,0.49,2023-01-01,0424,N20,VIIRS,n,2,288.69,0.52,N,0
-20.98443,-55.22084,303.28,0.5,0.49,2023-01-01,0424,N20,VIIRS,n,2,288.77,0.98,N,0
5.82093,-72.04961,304.61,0.57,0.43,2023-01-01,0557,N20,VIIRS,n,2,289.74,2.3,N,0
5.55093,-65.93077,313.94,0.4,0.37,2023-01-01,0557,N20,VIIRS,n,2,290.59,1.07,N,0
5.55037,-65.92722,309.9,0.4,0.37,2023-01-01,0557,N20,VIIRS,n,2,290.99,1.3,N,0
5.8202,-72.04478,339.45,0.57,0.43,2023-01-01,0557,N20,VIIRS,n,2,291.66,4.07,N,0
5.81629,-72.04569,315.81,0.57,0.43,2023-01-01,0557,N20,VIIRS,n,2,290.34,4.07,N,0
3.83238,-72.3998,316.32,0.56,0.43,2023-01-01,0558,N20,VIIRS,n,2,291.84,1.96,N,0
3.83324,-72.40206,307.29,0.56,0.43,2023-01-01,0558,N20,VIIRS,n,2,291.72,1.68,N,0
3.83247,-72.39703,316.12,0.56,0.43,2023-01-01,0558,N20,VIIRS,n,2,292.32,1.68,N,0
3.53519,-71.87799,322.48,0.52,0.41,2023-01-01,0558,N20,VIIRS,n,2,290.67,3.01,N,0
3.31649,-72.19666,319.25,0.54,0.42,2023-01-01,0558,N20,VIIRS,n,2,290.74,2.47,N,0
3.07359,-71.79865,315.84,0.51,0.41,2023-01-01,0558,N20,VIIRS,n,2,290.16,1.61,N,0
3.03838,-71.79482,329.49,0.51,0.41,2023-01-01,0558,N20,VIIRS,n,2,291.01,5.52,N,0
3.03462,-71.79542,328.99,0.51,0.41,2023-01-01,0558,N20,VIIRS,n,2,291.03,6.85,N,0
3.03532,-71.79994,317.66,0.51,0.41,2023-01-01,0558,N20,VIIRS,n,2,290.37,3.74,N,0
3.03156,-71.80054,331.12,0.51,0.41,2023-01-01,0558,N20,VIIRS,n,2,290.65,3.74,N,0
