latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-14.2922,-67.6215,309.7,1.5,1.2,2023-01-01,0307,Terra,MODIS,78,61.03,289.8,14.4,N,0
0.9042,-74.5017,306.3,1,1,2023-01-01,0311,Terra,MODIS,62,61.03,288.2,6.3,N,0
0.8042,-74.3628,308,1,1,2023-01-01,0311,Terra,MODIS,43,61.03,290.4,8,N,0
0.5987,-75.5575,303.8,1,1,2023-01-01,0311,Terra,MODIS,57,61.03,292.1,4.6,N,0
0.7953,-74.3616,324.2,1,1,2023-01-01,0311,Terra,MODIS,100,61.03,291.5,21.9,N,0
0.7965,-74.3526,315.7,1,1,2023-01-01,0311,Terra,MODIS,68,61.03,291.4,13.4,N,0
0.5508,-75.3721,301.4,1,1,2023-01-01,0311,Terra,MODIS,38,61.03,289.5,3.2,N,0
0.7864,-74.3544,313.5,1,1,2023-01-01,0311,Terra,MODIS,87,61.03,289.3,10.7,N,0
0.8078,-74.7896,303.1,1,1,2023-01-01,0311,Terra,MODIS,53,61.03,286.9,4.9,N,0
0.6821,-75.8188,308.2,1,1,2023-01-01,0311,Terra,MODIS,74,61.03,291.7,7.9,N,0
0.9131,-74.503,326,1,1,2023-01-01,0311,Terra,MODIS,100,61.03,288.1,23.7,N,0
2.8113,-73.5085,312.1,1.1,1,2023-01-01,0312,Terra,MODIS,84,61.03,293.6,11.9,N,0
2.9398,-74.2991,308.6,1,1,2023-01-01,0312,Terra,MODIS,75,61.03,291,8.2,N,0
2.5555,-74.5455,317.5,1,1,2023-01-01,0312,Terra,MODIS,95,61.03,292.2,14.8,N,0
2.9385,-74.3083,303.1,1,1,2023-01-01,0312,Terra,MODIS,53,61.03,291.2,4.8,N,0
-9.3045,-50.1429,310.4,3.9,1.8,2023-01-01,1631,Aqua,MODIS,27,61.03,292.4,42.7,D,0
-2.5991,-49.2265,314.2,2.6,1.6,2023-01-01,1632,Aqua,MODIS,69,61.03,293.4,35.5,D,2
-2.7328,-49.3204,310.8,2.7,1.6,2023-01-01,1632,Aqua,MODIS,57,61.03,292.8,25.1,D,0
-17.0396,-64.862,316.6,1,1,2023-01-01,1807,Aqua,MODIS,50,61.03,298,6.6,D,0
-18.4077,-58.8656,319.7,1.5,1.2,2023-01-01,1807,Aqua,MODIS,0,61.03,292.4,14.2,D,0
-18.8278,-63.1252,324.4,1,1,2023-01-01,1807,Aqua,MODIS,68,61.03,303.4,9.4,D,0
-18.6274,-63.137,323.1,1,1,2023-01-01,1807,Aqua,MODIS,71,61.03,302.6,9.4,D,0
-17.6222,-57.1816,330.6,2,1.4,2023-01-01,1807,Aqua,MODIS,69,61.03,292.7,45,D,0
-18.2408,-61.8252,337.9,1,1,2023-01-01,1807,Aqua,MODIS,87,61.03,292.9,35,D,0
-18.2423,-61.835,326.1,1,1,2023-01-01,1807,Aqua,MODIS,74,61.03,291.7,18,D,0
-18.2331,-61.8366,332.2,1,1,2023-01-01,1807,Aqua,MODIS,78,61.03,292.3,26.9,D,0
-18.3457,-62.6552,326.8,1,1,2023-01-01,1807,Aqua,MODIS,63,61.03,296.3,14.4,D,0
