latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-7.30719,-55.31054,305.47,0.42,0.38,2023-01-01,0511,SNPP,SNPP,n,2,280.79,1.21,N,2
-12.1011,-63.71339,302.32,0.39,0.44,2023-01-01,0513,SNPP,SNPP,n,2,287.69,0.74,N,0
-11.99366,-63.99553,302.59,0.4,0.45,2023-01-01,0513,SNPP,SNPP,n,2,288.17,0.9,N,0
-12.03373,-64.11882,307.52,0.41,0.45,2023-01-01,0513,SNPP,SNPP,n,2,287.82,1.1,N,0
-12.04319,-63.96969,320.88,0.4,0.44,2023-01-01,0513,SNPP,SNPP,n,2,288.23,2.05,N,0
-12.30657,-52.68513,316.52,0.44,0.46,2023-01-01,0513,SNPP,SNPP,n,2,288.83,1.72,N,0
-12.10046,-63.71699,318.4,0.39,0.44,2023-01-01,0513,SNPP,SNPP,n,2,288.14,1.72,N,0
-12.02959,-64.11805,312.33,0.41,0.45,2023-01-01,0513,SNPP,SNPP,n,2,288.21,1.1,N,0
-17.53132,-57.66987,298.87,0.42,0.38,2023-01-01,0514,SNPP,SNPP,n,2,253.52,1.21,N,0
-18.25473,-52.17046,303.31,0.57,0.52,2023-01-01,0514,SNPP,SNPP,n,2,274.12,1.42,N,0
-17.61136,-57.16799,301.47,0.44,0.38,2023-01-01,0514,SNPP,SNPP,n,2,281.45,0.91,N,0
-17.61962,-57.18624,303.99,0.44,0.38,2023-01-01,0514,SNPP,SNPP,n,2,280.32,0.7,N,0
-14.2915,-67.62092,323.81,0.63,0.54,2023-01-01,0514,SNPP,SNPP,n,2,286.6,5.22,N,0
-18.09167,-62.66825,316.91,0.43,0.38,2023-01-01,0515,SNPP,SNPP,n,2,274.47,1.72,N,0
-18.09309,-62.66008,304.08,0.43,0.38,2023-01-01,0515,SNPP,SNPP,n,2,273.46,1.55,N,0
-18.207,-62.81638,299.99,0.44,0.38,2023-01-01,0515,SNPP,SNPP,n,2,280.06,0.63,N,0
-19.11374,-57.7678,309.61,0.43,0.38,2023-01-01,0515,SNPP,SNPP,n,2,289.05,1.16,N,0
-20.14085,-56.65091,320.68,0.49,0.4,2023-01-01,0515,SNPP,SNPP,n,2,287.13,2.22,N,0
-19.6695,-63.18697,299.34,0.44,0.38,2023-01-01,0515,SNPP,SNPP,n,2,265.31,0.64,N,0
-18.08957,-62.65942,312.23,0.43,0.38,2023-01-01,0515,SNPP,SNPP,n,2,273.05,1.55,N,0
-18.08887,-62.66351,315.38,0.43,0.38,2023-01-01,0515,SNPP,SNPP,n,2,274.37,1.55,N,0
-18.08816,-62.66759,302.17,0.43,0.38,2023-01-01,0515,SNPP,SNPP,n,2,273.56,1.72,N,0
-18.09238,-62.66417,314.2,0.43,0.38,2023-01-01,0515,SNPP,SNPP,n,2,274.48,1.55,N,0
4.30796,-75.09993,318.77,0.4,0.44,2023-01-01,0649,SNPP,SNPP,n,2,289.7,1.85,N,2
3.83192,-72.39387,309.58,0.62,0.54,2023-01-01,0649,SNPP,SNPP,n,2,290.9,2.21,N,0
